global_iso_id,nu,sw,elower,gamma_air,n_air,gamma_self,nu-err,sw-err,gamma_air-err,n_air-err,gamma_self-err,nu-ref,sw-ref,gamma_air-ref,n_air-ref,gamma_self-ref
52,8171.094045,5.866e-56,16394.4952,0.0095,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,8175.114363,1.291e-57,16665.5254,0.0093,0.5,0.06,3,5,2,2,5,607,1592,700,393,702
52,8176.867355,3.983e-77,26073.0375,0.087,0.69,0.22,2,5,2,2,5,607,1592,700,393,702
52,8179.131975,1.338e-70,23261.4667,0.0144,0.5,0.09,2,5,2,2,5,607,1592,700,393,702
52,8181.277155,1.878e-71,23480.0789,0.0094,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,8182.767329,9.281e-77,26242.1393,0.0468,0.35,0.185,2,5,2,2,5,607,1592,700,393,702
52,8185.918785,2.167e-72,24565.5893,0.0095,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,8187.101855,1.436e-58,16811.0105,0.0093,0.5,0.06,3,5,2,2,5,607,1592,700,393,702
52,8187.387531,3.879e-56,16540.1949,0.022,0.14,0.11,2,5,2,2,5,607,1592,700,393,702
52,8190.692498,3.211e-64,20798.6506,0.0093,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,8190.755051,5.167e-56,16285.0941,0.0093,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,8192.112866,1.576e-78,27496.0879,0.0093,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,8194.803844,2.816e-23,437.558,0.0478,0.35,0.175,4,5,2,2,5,607,608,700,393,701
52,8195.131354,2.684e-36,7074.3578,0.0093,0.5,0.06,4,4,2,2,5,607,608,700,393,701
52,8195.646278,2.054e-74,25586.4089,0.0093,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,8196.274855,2.402e-77,26044.794,0.0971,0.65,0.209,2,5,2,2,5,607,1592,700,393,702
52,8197.213056,4.016e-61,19306.9925,0.0094,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,8200.997997,9.929e-77,26171.7551,0.0585,0.58,0.196,2,5,2,2,5,607,1592,700,393,702
52,8208.751508,9.094e-81,27231.7299,0.0093,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,8210.989677,2.813e-56,16264.965,0.0093,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,8211.797855,2.397e-83,27807.4928,0.0094,0.5,0.06,2,5,2,2,3,607,1592,700,393,702
52,8213.692674,9.586e-77,26115.3707,0.068,0.71,0.2,2,5,2,2,5,607,1592,700,393,702
52,8215.382373,4.655e-80,26699.2419,0.0093,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,8219.239069,2.898e-77,26030.6658,0.0974,0.74,0.192,2,5,2,2,5,607,1592,700,393,702
52,8220.723664,1.719e-81,27754.8371,0.0093,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,8220.925953,8.154e-77,26073.0375,0.0782,0.72,0.199,2,5,2,2,5,607,1592,700,393,702
52,8222.758716,5.792e-77,26044.794,0.0864,0.76,0.196,2,5,2,2,5,607,1592,700,393,702
52,8224.112814,7.468e-56,16386.1757,0.0287,0.13,0.13,2,5,2,2,5,607,1592,700,393,702
52,8224.537676,4.351e-23,312.7311,0.0589,0.46,0.205,4,5,2,2,5,607,608,700,393,701
52,8225.105866,2.111e-66,21781.6715,0.0093,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,8226.142421,2.923e-35,6567.4553,0.0093,0.5,0.06,4,4,2,2,5,607,608,700,393,701
52,8228.830763,2.565e-55,16084.3481,0.0096,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,8229.850903,2.829e-70,23094.3856,0.0174,0.15,0.09,2,5,2,2,5,607,1592,700,393,702
52,8230.147157,2.445e-72,23641.1115,0.0093,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,8235.477311,1.787e-60,18977.3336,0.0094,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,8239.704488,6.271e-72,24313.1789,0.0096,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,8241.079651,5.321e-81,28577.2368,0.0093,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,8244.994375,1.803e-77,26171.2944,0.0097,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,8248.74277,3.403e-75,24434.3519,0.0093,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,8249.133973,2.506e-79,27795.7001,0.0093,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,8250.494694,1.199e-82,29307.5925,0.0093,0.5,0.06,2,5,2,2,5,607,1592,700,393,702
52,8252.528129,5.84e-23,208.5929,0.0701,0.61,0.23,4,5,2,2,5,607,608,700,393,701
