global_iso_id,nu,sw,elower,gamma_air,n_air,gamma_self,nu-err,sw-err,gamma_air-err,n_air-err,gamma_self-err,nu-ref,sw-ref,gamma_air-ref,n_air-ref,gamma_self-ref
36,6324.115115,2.034e-31,2213.3478,0.0368,0.8,0.039,5,6,6,4,6,1179,855,307,582,867
36,6324.463566,3.243e-31,2097.0889,0.0392,0.81,0.041,5,6,6,4,6,1179,855,307,582,867
36,6324.774974,4.842e-31,1992.1165,0.0416,0.81,0.042,5,6,6,4,6,1179,855,307,582,867
36,6325.050281,6.749e-31,1898.4477,0.0438,0.83,0.043,5,6,6,4,6,1179,855,307,582,867
36,6325.290325,8.749e-31,1816.0979,0.0459,0.83,0.045,5,6,6,4,6,1179,855,307,582,867
36,6325.495843,1.048e-30,1745.0806,0.0478,0.84,0.047,5,6,6,4,6,1179,855,307,582,867
36,6325.667464,1.149e-30,1685.4073,0.0496,0.84,0.048,5,6,6,4,6,1179,855,307,582,867
36,6325.805719,1.131e-30,1637.0878,0.0513,0.84,0.05,5,6,6,4,6,1179,855,307,582,867
36,6325.911035,9.611e-31,1600.1301,0.0533,0.84,0.053,5,6,6,4,6,1179,855,307,582,867
36,6325.942797,5.832e-32,2211.5201,0.0368,0.8,0.039,5,6,6,4,6,1179,855,307,582,867
36,6325.983739,6.184e-31,1574.5401,0.0555,0.84,0.056,5,6,6,4,6,1179,855,307,582,867
36,6326.309586,9.426e-32,2095.2429,0.0392,0.81,0.041,5,6,6,4,6,1179,855,307,582,867
36,6326.608352,7.153e-32,2094.9441,0.0392,0.81,0.041,5,6,6,4,6,1179,855,307,582,867
36,6326.639729,1.431e-31,1990.2517,0.0416,0.81,0.042,5,6,6,4,6,1179,855,307,582,867
36,6326.901097,1.052e-31,1989.9904,0.0416,0.81,0.042,5,6,6,4,6,1179,855,307,582,867
36,6326.934329,2.037e-31,1896.5637,0.0438,0.83,0.043,5,6,6,4,6,1179,855,307,582,867
36,6327.157378,1.438e-31,1896.3406,0.0438,0.83,0.043,5,6,6,4,6,1179,855,307,582,867
36,6327.194486,2.714e-31,1814.1937,0.0459,0.83,0.045,5,6,6,4,6,1179,855,307,582,867
36,6327.377872,1.819e-31,1814.0104,0.0459,0.83,0.045,5,6,6,4,6,1179,855,307,582,867
36,6327.421398,3.376e-31,1743.155,0.0478,0.84,0.047,5,6,6,4,6,1179,855,307,582,867
36,6327.563052,2.108e-31,1743.0133,0.0478,0.84,0.047,5,6,6,4,6,1179,855,307,582,867
36,6327.616593,3.906e-31,1683.4581,0.0496,0.84,0.048,5,6,6,4,6,1179,855,307,582,867
36,6327.713088,2.206e-31,1683.3616,0.0496,0.84,0.048,5,6,6,4,6,1179,855,307,582,867
36,6327.782605,4.188e-31,1635.1109,0.0513,0.84,0.05,5,6,6,4,6,1179,855,307,582,867
36,6327.827612,2.025e-31,1635.0659,0.0513,0.84,0.05,5,6,6,4,6,1179,855,307,582,867
36,6327.905047,1.527e-31,1598.1361,0.0533,0.84,0.053,5,6,6,4,6,1179,855,307,582,867
36,6327.925459,4.149e-31,1598.1157,0.0533,0.84,0.053,5,6,6,4,6,1179,855,307,582,867
36,6327.940122,7.671e-32,1572.5838,0.0555,0.84,0.056,5,6,6,4,6,1179,855,307,582,867
36,6328.069371,3.861e-31,1572.4545,0.0555,0.84,0.056,5,6,6,4,6,1179,855,307,582,867
36,6331.695251,6.822e-31,1560.3221,0.0568,0.84,0.058,5,6,6,4,6,1179,855,307,582,867
36,6333.580367,1.758e-31,1558.437,0.0568,0.84,0.058,5,6,6,4,6,1179,855,307,582,867
36,6337.325146,7.965e-31,1574.5401,0.0543,0.84,0.054,5,6,6,4,6,1179,855,307,582,867
36,6339.281529,4.15e-31,1572.5838,0.0543,0.84,0.054,5,6,6,4,6,1179,855,307,582,867
36,6342.08685,3.52e-31,1558.437,0.0555,0.84,0.056,5,6,6,4,6,1179,855,307,582,867
36,6342.920696,8.76e-31,1600.1301,0.0523,0.84,0.052,5,6,6,4,6,1179,855,307,582,867
36,6344.914707,5.688e-31,1598.1361,0.0523,0.84,0.052,5,6,6,4,6,1179,855,307,582,867
36,6348.480694,8.831e-31,1637.0878,0.0504,0.84,0.049,5,6,6,4,6,1179,855,307,582,867
36,6350.502587,6.399e-31,1635.0659,0.0504,0.84,0.049,5,6,6,4,6,1179,855,307,582,867
36,6353.457368,4.313e-31,1572.5838,0.0533,0.84,0.053,5,6,6,4,6,1179,855,307,582,867
