global_iso_id,nu,sw,elower,gamma_air,n_air,gamma_self,nu-err,sw-err,gamma_air-err,n_air-err,gamma_self-err,nu-ref,sw-ref,gamma_air-ref,n_air-ref,gamma_self-ref
26,214.197428,1.045e-42,10433.5215,0.0332,0.67,0.035,6,6,5,2,6,1727,1077,1331,226,1331
26,214.654351,2.387e-32,6074.5304,0.0335,0.67,0.036,6,7,5,2,6,1727,1077,1331,226,1331
26,216.22797,1.327e-37,8374.593,0.0332,0.67,0.035,6,7,5,2,6,1727,1077,1331,226,1331
26,217.722988,3.302e-43,10647.719,0.0329,0.67,0.035,6,6,5,2,6,1727,1077,1331,226,1331
26,218.258379,8.459e-33,6289.1847,0.0332,0.67,0.035,6,7,5,2,6,1727,1077,1331,226,1331
26,219.788573,4.546e-38,8590.8209,0.0329,0.67,0.035,6,7,5,2,6,1727,1077,1331,226,1331
26,221.240008,1.009e-43,10865.442,0.0326,0.67,0.035,6,6,5,2,6,1727,1077,1331,226,1331
26,221.854013,2.938e-33,6507.4431,0.0329,0.67,0.035,6,7,5,2,6,1727,1077,1331,226,1331
26,223.340641,1.525e-38,8810.6095,0.0326,0.67,0.035,6,7,5,2,6,1727,1077,1331,226,1331
26,224.748348,2.97e-44,11086.682,0.0323,0.67,0.034,6,6,5,2,6,1727,1077,1331,226,1331
26,225.441115,1.001e-33,6729.2971,0.0326,0.67,0.035,6,7,5,2,6,1727,1077,1331,226,1331
26,226.884032,5.006e-39,9033.9502,0.0323,0.67,0.034,6,7,5,2,6,1727,1077,1331,226,1331
26,228.247868,8.391e-45,11311.4303,0.032,0.67,0.034,6,6,5,2,6,1727,1077,1331,226,1331
26,229.019543,3.341e-34,6954.7382,0.0323,0.67,0.034,6,7,5,2,6,1727,1077,1331,226,1331
26,230.418606,1.608e-39,9260.8342,0.032,0.67,0.034,6,7,5,2,6,1727,1077,1331,226,1331
26,231.738427,2.261e-45,11539.6782,0.0317,0.67,0.034,6,6,5,2,6,1727,1077,1331,226,1331
26,232.589158,1.094e-34,7183.7578,0.032,0.67,0.034,6,7,5,2,6,1727,1077,1331,226,1331
26,233.944223,5.053e-40,9491.2528,0.0317,0.67,0.034,6,7,5,2,6,1727,1077,1331,226,1331
26,236.149819,3.509e-35,7416.3469,0.0317,0.67,0.034,6,7,5,2,6,1727,1077,1331,226,1331
26,237.460744,1.553e-40,9725.197,0.0314,0.67,0.033,6,7,5,2,6,1727,1077,1331,226,1331
26,239.701387,1.104e-35,7652.4967,0.0314,0.67,0.033,6,7,5,2,6,1727,1077,1331,226,1331
26,240.968028,4.664e-41,9962.6578,0.0312,0.67,0.033,6,7,5,2,6,1727,1077,1331,226,1331
26,243.243723,3.404e-36,7892.1981,0.0312,0.67,0.033,6,7,5,2,6,1727,1077,1331,226,1331
26,244.465936,1.369e-41,10203.6258,0.0309,0.67,0.033,6,7,5,2,6,1727,1077,1331,226,1331
26,246.776686,1.029e-36,8135.4418,0.0309,0.67,0.033,6,7,5,2,6,1727,1077,1331,226,1331
26,247.954329,3.924e-42,10448.0917,0.0306,0.67,0.032,6,7,5,2,6,1727,1077,1331,226,1331
26,250.300139,3.047e-37,8382.2185,0.0306,0.67,0.032,6,7,5,2,6,1727,1077,1331,226,1331
26,251.433068,1.098e-42,10696.0461,0.0303,0.67,0.032,6,7,5,2,6,1727,1077,1331,226,1331
26,253.813942,8.848e-38,8632.5187,0.0303,0.67,0.032,6,7,5,2,6,1727,1077,1331,226,1331
26,254.902013,2.995e-43,10947.4791,0.0301,0.67,0.032,6,7,5,2,6,1727,1077,1331,226,1331
26,257.317956,2.517e-38,8886.3326,0.0301,0.67,0.032,6,7,5,2,6,1727,1077,1331,226,1331
26,258.361026,7.961e-44,11202.3811,0.0298,0.67,0.032,6,7,5,2,6,1727,1077,1331,226,1331
26,260.812043,7.018e-39,9143.6506,0.0298,0.67,0.032,6,7,5,2,6,1727,1077,1331,226,1331
26,261.809969,2.059e-44,11460.7422,0.0296,0.67,0.031,6,7,5,2,6,1727,1077,1331,226,1331
26,264.296065,1.917e-39,9404.4626,0.0296,0.67,0.031,6,7,5,2,6,1727,1077,1331,226,1331
26,265.248702,5.177e-45,11722.5521,0.0293,0.67,0.031,6,7,5,2,6,1727,1077,1331,226,1331
26,267.769883,5.128e-40,9668.7587,0.0293,0.67,0.031,6,7,5,2,6,1727,1077,1331,226,1331
26,268.677089,1.263e-45,11987.8008,0.0291,0.67,0.031,6,7,5,2,6,1727,1077,1331,226,1331
26,271.23336,1.344e-40,9936.5286,0.0291,0.67,0.031,6,7,5,2,6,1727,1077,1331,226,1331
26,274.686359,3.447e-41,10207.7619,0.0289,0.67,0.031,6,7,5,2,6,1727,1077,1331,226,1331
26,278.128741,8.657e-42,10482.4483,0.0286,0.67,0.03,6,7,5,2,6,1727,1077,1331,226,1331
26,281.560369,2.128e-42,10760.577,0.0284,0.67,0.03,6,7,5,2,6,1727,1077,1331,226,1331
26,284.981107,5.115e-43,11042.1374,0.0282,0.67,0.03,6,7,5,2,6,1727,1077,1331,226,1331
26,288.390818,1.203e-43,11327.1185,0.0279,0.67,0.03,6,7,5,2,6,1727,1077,1331,226,1331
26,291.789364,2.763e-44,11615.5093,0.0277,0.67,0.029,6,7,5,2,6,1727,1077,1331,226,1331
26,295.17661,6.199e-45,11907.2987,0.0275,0.67,0.029,6,7,5,2,6,1727,1077,1331,226,1331
26,298.552419,1.358e-45,12202.4753,0.0273,0.67,0.029,6,7,5,2,6,1727,1077,1331,226,1331
26,1872.749298,2.532e-31,6289.1847,0.0335,0.67,0.036,4,7,5,2,6,1727,1077,1331,226,1331
26,1878.321932,7.078e-31,6074.5304,0.0338,0.67,0.036,4,7,5,2,6,1727,1077,1331,226,1331
26,1883.867653,1.943e-30,5863.4883,0.0342,0.67,0.036,4,7,5,2,6,1727,1077,1331,226,1331
26,1889.386322,5.241e-30,5656.0666,0.0345,0.67,0.037,4,7,5,2,6,1727,1077,1331,226,1331
26,1894.877801,1.388e-29,5452.2733,0.0348,0.67,0.037,4,7,5,2,6,1727,1077,1331,226,1331
26,1900.341948,3.611e-29,5252.1162,0.0352,0.67,0.037,4,7,5,2,6,1727,1077,1331,226,1331
26,1902.414094,2.342e-31,6409.9236,0.037,0.67,0.039,4,7,5,2,6,1727,1077,1331,226,1331
26,1905.778626,9.225e-29,5055.6029,0.0355,0.67,0.038,4,7,5,2,6,1727,1077,1331,226,1331
26,1907.676322,5.419e-31,6233.3853,0.0374,0.67,0.04,4,7,5,2,6,1727,1077,1331,226,1331
26,1911.187693,2.314e-28,4862.7411,0.0359,0.67,0.038,4,7,5,2,6,1727,1077,1331,226,1331
26,1912.910229,1.231e-30,6060.499,0.0378,0.67,0.04,4,7,5,2,6,1727,1077,1331,226,1331
26,1916.569009,5.702e-28,4673.5381,0.0362,0.67,0.038,4,7,5,2,6,1727,1077,1331,226,1331
26,1918.115672,2.746e-30,5891.2714,0.0382,0.67,0.04,4,7,5,2,6,1727,1077,1331,226,1331
26,1921.922433,1.379e-27,4488.0012,0.0366,0.67,0.039,4,7,5,2,6,1727,1077,1331,226,1331
26,1923.292511,6.013e-30,5725.709,0.0386,0.67,0.041,4,7,5,2,6,1727,1077,1331,226,1331
26,1927.247824,3.276e-27,4306.1375,0.037,0.67,0.039,4,7,5,2,6,1727,1077,1331,226,1331
26,1928.440602,1.293e-29,5563.8184,0.039,0.67,0.041,4,7,5,2,6,1727,1077,1331,226,1331
26,1932.54504,7.64e-27,4127.9539,0.0374,0.67,0.04,4,7,5,2,6,1727,1077,1331,226,1331
26,1933.559804,2.729e-29,5405.6056,0.0395,0.67,0.042,4,7,5,2,6,1727,1077,1331,226,1331
26,1937.813941,1.749e-26,3953.4574,0.0378,0.67,0.04,4,7,5,2,6,1727,1077,1331,226,1331
26,1938.649974,5.655e-29,5251.0769,0.0399,0.67,0.042,4,7,5,2,6,1727,1077,1331,226,1331
26,1943.054383,3.932e-26,3782.6547,0.0382,0.67,0.04,4,7,5,2,6,1727,1077,1331,226,1331
26,1943.350357,1.683e-31,6497.5586,0.0427,0.67,0.045,4,7,5,6,6,1727,1077,1331,226,1331
26,1943.710969,1.15e-28,5100.2382,0.0403,0.67,0.043,4,7,5,2,6,1727,1077,1331,226,1331
26,1948.198244,3.04e-31,6370.1677,0.0432,0.67,0.046,4,7,5,6,6,1727,1077,1331,226,1331
26,1948.266225,8.676e-26,3615.5521,0.0386,0.67,0.041,4,7,5,2,6,1727,1077,1331,226,1331
